,created_at,text,retweets,likes
60,2025-04-02 21:42:10+00:00,"RT @CNBCTV18News: Trump to announce reciprocal tariffs tonight!

White House: Tariffs will be “effective immediately”

Nasdaq +0.87%, Oil n…",5,0
61,2025-04-02 21:41:38+00:00,"RT @Pescador230: $AABB #DDTG
#FAFO #ASIA #GOLD #MINING #AABB #nvdia #STOCKSTOWATCH #AMC #GME #BBBYQ #MMTLP #OTC #TSLA #GOLD   #SILVER #Stoc…",1,0
62,2025-04-02 21:41:14+00:00,"$MITQ is heating up! Solid Q4 with $6.3M revenue (+10% YoY), aggressive buybacks, and innovative products launching soon. Low float and a booming cinema tech market make this a breakout contender. Bullish vibes! 🎬💪 #MITQ #StockMarket",0,0
63,2025-04-02 21:40:58+00:00,"RT @Pescador230: $AABB #DDTG
#FAFO #ASIA #GOLD #MINING #AABB #nvdia #STOCKSTOWATCH #AMC #GME #BBBYQ #MMTLP #OTC #TSLA #GOLD   #SILVER #Stoc…",1,0
64,2025-04-02 21:40:13+00:00,.@Beth_Kindig and her team at @IOFundOfficial keep bringing in incredible results vs the leading names on Wall St. --&gt;  I/O Fund Reports 210% Cumulative Return -- Ranking Above Wall Street's Best https://t.co/CGDSW2nfVU #investing #StockMarket #NVIDIA $NVDA,0,1
65,2025-04-02 21:39:14+00:00,#AdrienneAdams is the only Qualified #MayoralCandidate for #NewYorkers #NewYorkCity She already knows the Routine . Hell NO to #Cuomo #Hellno to #EricAdams #TrumpTariffs #StockMarket https://t.co/N3jA8PNbnC,1,1
66,2025-04-02 21:39:10+00:00,"#WATCH 

विपक्षी दलों को आज तो बड़े मुद्दे मिल गए हैं सरकार को घेरने के लिए।

#tariff India- 26%
#WaqfAmendmentBill2025

-
.
.
.

#tariffannouncement #tariffs #WaqfAmendmentBill #WaqfBill #WaqfBoard #watch #LatestNews #BreakingNews #DonaldTrump #PMModi #Trump #stockmarket https://t.co/dEvOHZlMNz",0,0
67,2025-04-02 21:37:42+00:00,Market chaos runs deeper than Trump's tariffs https://t.co/ckQP6eQNnk #bondmarkets #Business #DonaldTrump #nasdaq #optional #Politics #stockmarket #Tariffs #UK #uncategorized@us #UnitedKingdom #us,0,0
68,2025-04-02 21:37:12+00:00,"RT @TheEconomist: Turkey’s economy has taken a hit as a result of the ongoing protests. Stockmarket regulators have banned short selling, w…",179,0
69,2025-04-02 21:36:48+00:00,"Intrady stock option from 279 to exact predicted target 350
Above 8500 💰 in single lot 
#nifty #Nifty50 #NIFTYFUTURE #Nifty500 #StockMarket #stockmarketsindia #StockMarketIndia #StockMarketUpdate #StocksToBuy #StocksInFocus #optionbuying #optiontrading #TradingView #TradingTips https://t.co/kviBgAOF1K",0,0
70,2025-04-02 21:36:33+00:00,"1 trillion market cap erased in 5 minutes?? 
#stockmarketcrash #StockMarket #tariffs #DonaldTrump #spy",0,0
71,2025-04-02 21:35:56+00:00,SOUNDHOUND AI STOCK PREDICTION (SOUN STOCK Market Short Squeeze Stocks t... https://t.co/9LRfhH54oq #AI #ArtificialIntelligence #TECH #TECHNOLOGY #FINANCE #FINANCIAL #STOCKMARKET #SOUNDHOUND #SOUNDHOUNDAI #SOUN $SOUN,0,1
72,2025-04-02 21:35:55+00:00,"Well, with ALL these #TARIFFS, #foreign #investors HAVE NO CHOICE but to pour their  #MONEY into the #USA #StockMarket.  IMO. Even if they hate it.

$SPX $SPY $QQQ $NDX $NDAQ $ONEQ $QQQE $DIA $DJIA $RUT $VOO $IVV $IWM $VTWO $RTY $ES $NQ $YM $ZN $GC $BTC $MBT #Stocks #USD $DXY https://t.co/Zk7LNhAngr",0,0
73,2025-04-02 21:35:19+00:00,"#StockMarket

#Trump’s #Tariffs https://t.co/9SS6T1Ii0q",0,0
74,2025-04-02 21:35:11+00:00,"فيديكس (FDX) تُعتبر من الأسهم الكبيرة الأكثر بيعا، مما يجعلها فرصة استثمارية مميزة الآن. هل تفكر في الاستثمار فيها؟ شاركنا رأيك!

#FedEx #Investing #OversoldStocks #StockMarket https://t.co/OexRd0pwNM",0,0
75,2025-04-02 21:35:09+00:00,"What do you think, would ChatGPT invest in Ultragenyx Pharmaceutical  stocks today or not? #UltragenyxPharmaceutical #RARE #stockmarket #invest #investing #money #share #finance #passiveincome #financialfreedom #stock #exchange #dividends #ai #chatgpt #trading  
Ultragenyx https://t.co/7oZ6YF0Cd0",0,0
76,2025-04-02 21:34:24+00:00,"RT @Apostle_White: Musk gambled millions on Wi Supreme Court race and lost!
#Teamwhite #followers #cnn #StockMarket #SouthAfrica #global ht…",1,0
77,2025-04-02 21:34:07+00:00,"RT @aj_ct007: Global stock markets today. 
Almost all are in the red.

#stockmarketcrash #StockMarket https://t.co/ZaPHsMNuIE",0,0
78,2025-04-02 21:34:02+00:00,"Even when the #stockmarket is red from #tariffs, our picks will be green. I am here to help you profit. Join the ride and check out my recent pick $CMCL and why this is going higher tomorrow.",0,2
79,2025-04-02 21:33:57+00:00,"Musk gambled millions on Wi Supreme Court race and lost!
#Teamwhite #followers #cnn #StockMarket #SouthAfrica #global https://t.co/sAnjjBNnei",1,1
80,2025-04-02 21:33:00+00:00,"RT @DomainMondo: Apr 02 #StockMarket #DJI +0.56%, #SPX +0.67%, #Nasdaq +0.87%, US #stocks move UP on #tariffs day https://t.co/lJmKhX6zkc $…",4,0
81,2025-04-02 21:32:47+00:00,"As HORRIBLE as #stockmarket futures are looking after Trump 's tarriff announcement, just REMEMBER that the other countries are expected to RETALIATE also 🤣🤣🤣🤣 This is fun!!!! Trump is punishing everyone and M4g4 too 😂 https://t.co/wb47QJ11dk",0,0
82,2025-04-02 21:32:37+00:00,"दुनियां को हिलाकर रखने वाली ख़बर !

पीएम मोदी के ख़ास मित्र  ने भारत पर 26% टैरिफ़ लगाया है 

 #tariff #TrumpTariffs
#tariffannouncement #tariffs #WaqfAmendmentBill #WaqfBill #WaqfBoard #watch #LatestNews #BreakingNews #DonaldTrump #PMModi #Trump #stockmarket
#WaqfBillAmendment https://t.co/RAK0YcInyU https://t.co/Gyfpt0WLX5",0,0
83,2025-04-02 21:32:12+00:00,"RT @4forexmarket: Celcuity Inc (NASDAQ:CELC) Misses Earning Expectations
 https://t.co/Cua9axTxq0

#Stock #Stockmarket #trading #market #mo…",6,0
